Gender,Age,Length(cm),weight(Kg),Status,
Boy,6-23,56,4.8,Normal,
Boy,6-23,56,4.4,Mild Malnutrition,
Boy,6-23,56,4.1,Moderate Malnutrition,
Boy,6-23,56,3.8,Severe  Malnutrition,
Boy,6-23,57,5.1,Normal,
Boy,6-23,57,4.7,Mild Malnutrition,
Boy,6-23,57,4.3,Moderate Malnutrition,
Boy,6-23,57,4.0,Severe  Malnutrition,
Boy,6-23,58,5.4,Normal,
Boy,6-23,58,5.0,Moderate Malnutrition,
Boy,6-23,58,4.6,Mild Malnutrition,
Boy,6-23,58,4.3,Severe  Malnutrition,
Boy,6-23,59,5.7,Normal,
Boy,6-23,59,5.3,Mild Malnutrition,
Boy,6-23,59,4.8,Moderate Malnutrition,
Boy,6-23,59,4.5,Severe  Malnutrition,
Boy,6-23,60,6.0,Normal,
Boy,6-23,60,5.5,Mild Malnutrition,
Boy,6-23,60,5.1,Moderate Malnutrition,
Boy,6-23,60,4.7,Severe  Malnutrition,
Boy,6-23,61,6.3,Normal,
Boy,6-23,61,5.8,Mild Malnutrition,
Boy,6-23,61,5.3,Moderate Malnutrition,
Boy,6-23,61,4.9,Severe  Malnutrition,
Boy,6-23,62,6.5,Normal,
Boy,6-23,62,6.0,Mild Malnutrition,
Boy,6-23,62,5.6,Moderate Malnutrition,
Boy,6-23,62,5.1,Severe  Malnutrition,
Boy,6-23,63,6.8,Normal,
Boy,6-23,63,6.2,Mild Malnutrition,
Boy,6-23,63,5.8,Moderate Malnutrition,
Boy,6-23,63,5.3,Severe  Malnutrition,
Boy,6-23,64,7.0,Normal,
Boy,6-23,64,6.5,Mild Malnutrition,
Boy,6-23,64,6.0,Moderate Malnutrition,
Boy,6-23,64,5.5,Severe  Malnutrition,
Boy,6-23,65,7.3,Normal,
Boy,6-23,65,6.7,Mild Malnutrition,
Boy,6-23,65,6.2,Moderate Malnutrition,
Boy,6-23,65,5.7,Severe  Malnutrition,
Boy,6-23,66,7.5,Normal,
Boy,6-23,66,6.9,Mild Malnutrition,
Boy,6-23,66,6.4,Moderate Malnutrition,
Boy,6-23,66,5.9,Severe  Malnutrition,
Boy,6-23,67,7.7,Normal,
Boy,6-23,67,7.1,Mild Malnutrition,
Boy,6-23,67,6.6,Moderate Malnutrition,
Boy,6-23,67,6.1,Severe  Malnutrition,
Boy,6-23,68,8.0,Normal,
Boy,6-23,68,7.3,Mild Malnutrition,
Boy,6-23,68,6.8,Moderate Malnutrition,
Boy,6-23,68,6.3,Severe  Malnutrition,
Boy,6-23,69,8.2,Normal,
Boy,6-23,69,7.6,Mild Malnutrition,
Boy,6-23,69,7.0,Moderate Malnutrition,
Boy,6-23,69,6.5,Severe  Malnutrition,
Boy,6-23,70,8.4,Normal,
Boy,6-23,70,7.8,Mild Malnutrition,
Boy,6-23,70,7.2,Moderate Malnutrition,
Boy,6-23,70,6.6,Severe  Malnutrition,
Boy,6-23,71,8.6,Normal,
Boy,6-23,71,8.0,Mild Malnutrition,
Boy,6-23,71,7.4,Moderate Malnutrition,
Boy,6-23,71,6.8,Severe  Malnutrition,
Boy,6-23,72,8.9,Normal,
Boy,6-23,72,8.2,Mild Malnutrition,
Boy,6-23,72,7.6,Moderate Malnutrition,
Boy,6-23,72,7.0,Severe  Malnutrition,
Boy,6-23,73,9.1,Normal,
Boy,6-23,73,8.4,Mild Malnutrition,
Boy,6-23,73,7.7,Moderate Malnutrition,
Boy,6-23,73,7.2,Severe  Malnutrition,
Girl,6-23,51,3.4,Normal,
Girl,6-23,51,3.1,Mild Malnutrition,
Girl,6-23,51,2.8,Moderate Malnutrition,
Girl,6-23,51,2.6,Severe  Malnutrition,
Girl,6-23,52,3.8,Normal,
Girl,6-23,52,3.5,Mild Malnutrition,
Girl,6-23,52,3.2,Moderate Malnutrition,
Girl,6-23,52,2.9,Severe  Malnutrition,
Girl,6-23,53,4.0,Normal,
Girl,6-23,53,3.7,Mild Malnutrition,
Girl,6-23,53,3.4,Moderate Malnutrition,
Girl,6-23,53,3.1,Severe  Malnutrition,
Girl,6-23,54,4.3,Normal,
Girl,6-23,54,3.9,Mild Malnutrition,
Girl,6-23,54,3.6,Moderate Malnutrition,
Girl,6-23,54,3.3,Severe  Malnutrition,
Girl,6-23,55,4.5,Normal,
Girl,6-23,55,4.2,Mild Malnutrition,
Girl,6-23,55,3.8,Moderate Malnutrition,
Girl,6-23,55,3.5,Severe  Malnutrition,
Girl,6-23,56,4.8,Normal,
Girl,6-23,56,4.4,Mild Malnutrition,
Girl,6-23,56,4.0,Moderate Malnutrition,
Girl,6-23,56,3.7,Severe  Malnutrition,
Girl,6-23,57,5.1,Normal,
Girl,6-23,57,4.6,Mild Malnutrition,
Girl,6-23,57,4.3,Moderate Malnutrition,
Girl,6-23,57,3.9,Severe  Malnutrition,
Girl,6-23,58,5.4,Normal,
Girl,6-23,58,4.9,Mild Malnutrition,
Girl,6-23,58,4.5,Moderate Malnutrition,
Girl,6-23,58,4.1,Severe  Malnutrition,
Girl,6-23,59,5.6,Normal,
Girl,6-23,59,5.1,Mild Malnutrition,
Girl,6-23,59,4.7,Moderate Malnutrition,
Girl,6-23,59,4.3,Severe  Malnutrition,
Girl,6-23,60,5.9,Normal,
Girl,6-23,60,5.4,Mild Malnutrition,
Girl,6-23,60,4.9,Moderate Malnutrition,
Girl,6-23,60,4.5,Severe  Malnutrition,
Girl,6-23,61,6.1,Normal,
Girl,6-23,61,5.6,Mild Malnutrition,
Girl,6-23,61,5.1,Moderate Malnutrition,
Girl,6-23,61,4.7,Severe  Malnutrition,
Girl,6-23,62,6.4,Normal,
Girl,6-23,62,5.8,Mild Malnutrition,
Girl,6-23,62,5.3,Moderate Malnutrition,
Girl,6-23,62,4.9,Severe  Malnutrition,
Girl,6-23,63,6.6,Normal,
Girl,6-23,63,6.0,Mild Malnutrition,
Girl,6-23,63,5.5,Moderate Malnutrition,
Girl,6-23,63,5.1,Severe  Malnutrition,
Girl,6-23,64,6.9,Normal,
Girl,6-23,64,6.3,Mild Malnutrition,
Girl,6-23,64,5.7,Moderate Malnutrition,
Girl,6-23,64,5.3,Severe  Malnutrition,
Girl,6-23,65,7.1,Normal,
Girl,6-23,65,6.5,Mild Malnutrition,
Girl,6-23,65,5.9,Moderate Malnutrition,
Girl,6-23,65,5.5,Severe  Malnutrition,
Girl,6-23,66,7.3,Normal,
Girl,6-23,66,6.7,Mild Malnutrition,
Girl,6-23,66,6.1,Moderate Malnutrition,
Girl,6-23,66,5.6,Severe  Malnutrition,
Girl,6-23,67,7.5,Normal,
Girl,6-23,67,6.9,Mild Malnutrition,
Girl,6-23,67,6.3,Moderate Malnutrition,
Girl,6-23,67,5.8,Severe  Malnutrition,
Girl,6-23,68,7.7,Normal,
Girl,6-23,68,7.1,Mild Malnutrition,
Girl,6-23,68,6.5,Moderate Malnutrition,
Girl,6-23,68,6.0,Severe  Malnutrition,
Girl,6-23,69,8.0,Normal,
Girl,6-23,69,7.3,Mild Malnutrition,
Girl,6-23,69,6.7,Moderate Malnutrition,
Girl,6-23,69,6.1,Severe  Malnutrition,
Girl,6-23,70,8.2,Normal,
Girl,6-23,70,7.5,Mild Malnutrition,
Girl,6-23,70,6.9,Moderate Malnutrition,
Girl,6-23,70,6.3,Severe  Malnutrition,
Girl,6-23,71,8.4,Normal,
Girl,6-23,71,7.7,Mild Malnutrition,
Girl,6-23,71,7.0,Moderate Malnutrition,
Girl,6-23,71,6.5,Severe  Malnutrition,
Girl,6-23,72,8.6,Normal,
Girl,6-23,72,7.8,Mild Malnutrition,
Girl,6-23,72,7.2,Moderate Malnutrition,
Girl,6-23,72,6.6,Severe  Malnutrition,
Girl,6-23,73,8.8,Normal,
Girl,6-23,73,8.0,Mild Malnutrition,
Girl,6-23,73,7.4,Moderate Malnutrition,
Girl,6-23,73,6.8,Severe  Malnutrition,
Boy,6-23,74,9.3,Normal,
Boy,6-23,74,8.6,Mild Malnutrition,
Boy,6-23,74,7.9,Moderate Malnutrition,
Boy,6-23,74,7.3,Severe  Malnutrition,
Boy,6-23,75,9.5,Normal,
Boy,6-23,75,8.8,Mild Malnutrition,
Boy,6-23,75,8.1,Moderate Malnutrition,
Boy,6-23,75,7.5,Severe  Malnutrition,
Boy,6-23,76,9.7,Normal,
Boy,6-23,76,8.9,Mild Malnutrition,
Boy,6-23,76,8.3,Moderate Malnutrition,
Boy,6-23,76,7.6,Severe  Malnutrition,
Boy,6-23,77,9.9,Normal,
Boy,6-23,77,9.1,Mild Malnutrition,
Boy,6-23,77,8.4,Moderate Malnutrition,
Boy,6-23,77,7.8,Severe  Malnutrition,
Boy,6-23,78,10.1,Normal,
Boy,6-23,78,9.3,Mild Malnutrition,
Boy,6-23,78,8.6,Moderate Malnutrition,
Boy,6-23,78,7.9,Severe  Malnutrition,
Boy,6-23,79,10.3,Normal,
Boy,6-23,79,9.5,Mild Malnutrition,
Boy,6-23,79,8.7,Moderate Malnutrition,
Boy,6-23,79,8.1,Severe  Malnutrition,
Boy,6-23,80,10.4,Normal,
Boy,6-23,80,9.6,Mild Malnutrition,
Boy,6-23,80,8.9,Moderate Malnutrition,
Boy,6-23,80,8.2,Severe  Malnutrition,
Boy,6-23,81,10.6,Normal,
Boy,6-23,81,9.8,Mild Malnutrition,
Boy,6-23,81,9.1,Moderate Malnutrition,
Boy,6-23,81,8.4,Severe  Malnutrition,
Boy,6-23,82,10.8,Normal,
Boy,6-23,82,10.0,Mild Malnutrition,
Boy,6-23,82,9.2,Moderate Malnutrition,
Boy,6-23,82,8.5,Severe  Malnutrition,
Boy,6-23,83,11.0,Normal,
Boy,6-23,83,10.2,Mild Malnutrition,
Boy,6-23,83,9.4,Moderate Malnutrition,
Boy,6-23,83,8.7,Severe  Malnutrition,
Boy,6-23,84,11.3,Normal,
Boy,6-23,84,10.4,Mild Malnutrition,
Boy,6-23,84,9.6,Moderate Malnutrition,
Boy,6-23,84,8.9,Severe  Malnutrition,
Boy,6-23,85,11.5,Normal,
Boy,6-23,85,10.6,Mild Malnutrition,
Boy,6-23,85,9.8,Moderate Malnutrition,
Boy,6-23,85,9.1,Severe  Malnutrition,
Boy,6-23,86,11.7,Normal,
Boy,6-23,86,10.8,Mild Malnutrition,
Boy,6-23,86,10.0,Moderate Malnutrition,
Boy,6-23,86,9.3,Severe  Malnutrition,
Boy,6-23,87,12.0,Normal,
Boy,6-23,87,11.1,Mild Malnutrition,
Boy,6-23,87,10.2,Moderate Malnutrition,
Boy,6-23,87,9.5,Severe  Malnutrition,
Boy,6-23,88,12.2,Normal,
Boy,6-23,88,11.3,Mild Malnutrition,
Boy,6-23,88,10.5,Moderate Malnutrition,
Boy,6-23,88,9.7,Severe  Malnutrition,
Boy,6-23,89,12.5,Normal,
Boy,6-23,89,11.5,Mild Malnutrition,
Boy,6-23,89,10.7,Moderate Malnutrition,
Boy,6-23,89,9.9,Severe  Malnutrition,
Boy,6-23,90,12.7,Normal,
Boy,6-23,90,11.8,Mild Malnutrition,
Boy,6-23,90,10.9,Moderate Malnutrition,
Boy,6-23,90,10.1,Severe  Malnutrition,
Boy,6-23,91,13.0,Normal,
Boy,6-23,91,12.0,Mild Malnutrition,
Boy,6-23,91,11.1,Moderate Malnutrition,
Boy,6-23,91,10.3,Severe  Malnutrition,
Boy,6-23,92,13.2,Normal,
Boy,6-23,92,12.2,Mild Malnutrition,
Boy,6-23,92,11.3,Moderate Malnutrition,
Boy,6-23,92,10.5,Severe  Malnutrition,
Boy,6-23,93,13.4,Normal,
Boy,6-23,93,12.4,Mild Malnutrition,
Boy,6-23,93,11.5,Moderate Malnutrition,
Boy,6-23,93,10.7,Severe  Malnutrition,
Boy,6-23,94,13.7,Normal,
Boy,6-23,94,12.6,Mild Malnutrition,
Boy,6-23,94,11.7,Moderate Malnutrition,
Boy,6-23,94,10.8,Severe  Malnutrition,
Boy,6-23,95,13.9,Normal,
Boy,6-23,95,12.8,Mild Malnutrition,
Boy,6-23,95,11.9,Moderate Malnutrition,
Boy,6-23,95,11.0,Severe  Malnutrition,
Boy,6-23,96,14.1,Normal,
Boy,6-23,96,13.1,Mild Malnutrition,
Boy,6-23,96,12.1,Moderate Malnutrition,
Boy,6-23,96,11.2,Severe  Malnutrition,
Boy,6-23,97,14.4,Normal,
Boy,6-23,97,13.3,Mild Malnutrition,
Boy,6-23,97,12.3,Moderate Malnutrition,
Boy,6-23,97,11.4,Severe  Malnutrition,
Boy,6-23,98,14.6,Normal,
Boy,6-23,98,13.5,Mild Malnutrition,
Boy,6-23,98,12.5,Moderate Malnutrition,
Boy,6-23,98,11.6,Severe  Malnutrition,
Boy,6-23,99,14.9,Normal,
Boy,6-23,99,13.7,Mild Malnutrition,
Boy,6-23,99,12.7,Moderate Malnutrition,
Boy,6-23,99,11.8,Severe  Malnutrition,
Boy,6-23,100,15.2,Normal,
Boy,6-23,100,14.0,Mild Malnutrition,
Boy,6-23,100,12.9,Moderate Malnutrition,
Boy,6-23,100,12.0,Severe  Malnutrition,
Girl,6-23,74,9.0,Normal,
Girl,6-23,74,8.2,Mild Malnutrition,
Girl,6-23,74,7.5,Moderate Malnutrition,
Girl,6-23,74,6.9,Severe  Malnutrition,
Girl,6-23,75,9.1,Normal,
Girl,6-23,75,8.4,Mild Malnutrition,
Girl,6-23,75,7.7,Moderate Malnutrition,
Girl,6-23,75,7.1,Severe  Malnutrition,
Girl,6-23,76,9.3,Normal,
Girl,6-23,76,8.5,Mild Malnutrition,
Girl,6-23,76,7.8,Moderate Malnutrition,
Girl,6-23,76,7.2,Severe  Malnutrition,
Girl,6-23,77,9.5,Normal,
Girl,6-23,77,8.7,Mild Malnutrition,
Girl,6-23,77,8.0,Moderate Malnutrition,
Girl,6-23,77,7.4,Severe  Malnutrition,
Girl,6-23,78,9.7,Normal,
Girl,6-23,78,8.9,Mild Malnutrition,
Girl,6-23,78,8.2,Moderate Malnutrition,
Girl,6-23,78,7.5,Severe  Malnutrition,
Girl,6-23,79,9.9,Normal,
Girl,6-23,79,9.1,Mild Malnutrition,
Girl,6-23,79,8.3,Moderate Malnutrition,
Girl,6-23,79,7.7,Severe  Malnutrition,
Girl,6-23,80,10.1,Normal,
Girl,6-23,80,9.2,Mild Malnutrition,
Girl,6-23,80,8.5,Moderate Malnutrition,
Girl,6-23,80,7.8,Severe  Malnutrition,
Girl,6-23,81,10.3,Normal,
Girl,6-23,81,9.4,Mild Malnutrition,
Girl,6-23,81,8.7,Moderate Malnutrition,
Girl,6-23,81,8.0,Severe  Malnutrition,
Girl,6-23,82,10.5,Normal,
Girl,6-23,82,9.6,Mild Malnutrition,
Girl,6-23,82,8.8,Moderate Malnutrition,
Girl,6-23,82,8.1,Severe  Malnutrition,
Girl,6-23,83,10.7,Normal,
Girl,6-23,83,9.8,Mild Malnutrition,
Girl,6-23,83,9.0,Moderate Malnutrition,
Girl,6-23,83,8.3,Severe  Malnutrition,
Girl,6-23,84,11.0,Normal,
Girl,6-23,84,10.1,Mild Malnutrition,
Girl,6-23,84,9.2,Moderate Malnutrition,
Girl,6-23,84,8.5,Severe  Malnutrition,
Girl,6-23,85,11.2,Normal,
Girl,6-23,85,10.3,Mild Malnutrition,
Girl,6-23,85,9.4,Moderate Malnutrition,
Girl,6-23,85,8.7,Severe  Malnutrition,
Girl,6-23,86,11.5,Normal,
Girl,6-23,86,10.5,Mild Malnutrition,
Girl,6-23,86,9.7,Moderate Malnutrition,
Girl,6-23,86,8.9,Severe  Malnutrition,
Girl,6-23,87,11.7,Normal,
Girl,6-23,87,10.7,Mild Malnutrition,
Girl,6-23,87,9.9,Moderate Malnutrition,
Girl,6-23,87,9.1,Severe  Malnutrition,
Girl,6-23,88,12.0,Normal,
Girl,6-23,88,11.0,Mild Malnutrition,
Girl,6-23,88,10.1,Moderate Malnutrition,
Girl,6-23,88,9.3,Severe  Malnutrition,
Girl,6-23,89,12.2,Normal,
Girl,6-23,89,11.2,Mild Malnutrition,
Girl,6-23,89,10.3,Moderate Malnutrition,
Girl,6-23,89,9.5,Severe  Malnutrition,
Girl,6-23,90,12.5,Normal,
Girl,6-23,90,11.4,Mild Malnutrition,
Girl,6-23,90,10.5,Moderate Malnutrition,
Girl,6-23,90,9.7,Severe  Malnutrition,
Girl,6-23,91,12.7,Normal,
Girl,6-23,91,11.7,Mild Malnutrition,
Girl,6-23,91,10.7,Moderate Malnutrition,
Girl,6-23,91,9.9,Severe  Malnutrition,
Girl,6-23,92,13.0,Normal,
Girl,6-23,92,11.9,Mild Malnutrition,
Girl,6-23,92,10.9,Moderate Malnutrition,
Girl,6-23,92,10.1,Severe  Malnutrition,
Girl,6-23,93,13.2,Normal,
Girl,6-23,93,12.1,Mild Malnutrition,
Girl,6-23,93,11.1,Moderate Malnutrition,
Girl,6-23,93,10.2,Severe  Malnutrition,
Girl,6-23,94,13.5,Normal,
Girl,6-23,94,12.3,Mild Malnutrition,
Girl,6-23,94,11.3,Moderate Malnutrition,
Girl,6-23,94,10.4,Severe  Malnutrition,
Girl,6-23,95,13.7,Normal,
Girl,6-23,95,12.6,Mild Malnutrition,
Girl,6-23,95,11.5,Moderate Malnutrition,
Girl,6-23,95,10.6,Severe  Malnutrition,
Girl,6-23,96,14.0,Normal,
Girl,6-23,96,12.8,Mild Malnutrition,
Girl,6-23,96,11.7,Moderate Malnutrition,
Girl,6-23,96,10.8,Severe  Malnutrition,
Girl,6-23,97,14.2,Normal,
Girl,6-23,97,13.0,Mild Malnutrition,
Girl,6-23,97,12.0,Moderate Malnutrition,
Girl,6-23,97,11.0,Severe  Malnutrition,
Girl,6-23,98,14.5,Normal,
Girl,6-23,98,13.3,Mild Malnutrition,
Girl,6-23,98,12.2,Moderate Malnutrition,
Girl,6-23,98,11.2,Severe  Malnutrition,
Girl,6-23,99,14.8,Normal,
Girl,6-23,99,13.5,Mild Malnutrition,
Girl,6-23,99,12.4,Moderate Malnutrition,
Girl,6-23,99,11.4,Severe  Malnutrition,
Girl,6-23,100,15.0,Normal,
Girl,6-23,100,13.7,Mild Malnutrition,
Girl,6-23,100,12.6,Moderate Malnutrition,
Girl,6-23,100,11.6,Severe  Malnutrition,
Boy,24-59,65,7.4,Normal,
Boy,24-59,65,6.9,Mild Malnutrition,
Boy,24-59,65,6.3,Moderate Malnutrition,
Boy,24-59,65,5.9,Severe  Malnutrition,
Boy,24-59,66,7.7,Normal,
Boy,24-59,66,7.1,Mild Malnutrition,
Boy,24-59,66,6.5,Moderate Malnutrition,
Boy,24-59,66,6.1,Severe  Malnutrition,
Boy,24-59,67,7.9,Normal,
Boy,24-59,67,7.3,Mild Malnutrition,
Boy,24-59,67,6.7,Moderate Malnutrition,
Boy,24-59,67,6.2,Severe  Malnutrition,
Boy,24-59,68,8.1,Normal,
Boy,24-59,68,7.5,Mild Malnutrition,
Boy,24-59,68,6.9,Moderate Malnutrition,
Boy,24-59,68,6.4,Severe  Malnutrition,
Boy,24-59,69,8.4,Normal,
Boy,24-59,69,7.7,Mild Malnutrition,
Boy,24-59,69,7.1,Moderate Malnutrition,
Boy,24-59,69,6.6,Severe  Malnutrition,
Boy,24-59,70,8.6,Normal,
Boy,24-59,70,7.9,Mild Malnutrition,
Boy,24-59,70,7.3,Moderate Malnutrition,
Boy,24-59,70,6.8,Severe  Malnutrition,
Boy,24-59,71,8.8,Normal,
Boy,24-59,71,8.1,Mild Malnutrition,
Boy,24-59,71,7.5,Moderate Malnutrition,
Boy,24-59,71,6.9,Severe  Malnutrition,
Boy,24-59,72,9.0,Normal,
Boy,24-59,72,8.3,Mild Malnutrition,
Boy,24-59,72,7.7,Moderate Malnutrition,
Boy,24-59,72,7.1,Severe  Malnutrition,
Boy,24-59,73,9.2,Normal,
Boy,24-59,73,8.5,Mild Malnutrition,
Boy,24-59,73,7.9,Moderate Malnutrition,
Boy,24-59,73,7.3,Severe  Malnutrition,
Boy,24-59,74,9.4,Normal,
Boy,24-59,74,8.7,Mild Malnutrition,
Boy,24-59,74,8.0,Moderate Malnutrition,
Boy,24-59,74,7.4,Severe  Malnutrition,
Boy,24-59,75,9.6,Normal,
Boy,24-59,75,8.9,Mild Malnutrition,
Boy,24-59,75,8.2,Moderate Malnutrition,
Boy,24-59,75,7.6,Severe  Malnutrition,
Boy,24-59,76,9.8,Normal,
Boy,24-59,76,9.1,Mild Malnutrition,
Boy,24-59,76,8.4,Moderate Malnutrition,
Boy,24-59,76,7.7,Severe  Malnutrition,
Boy,24-59,77,10.0,Normal,
Boy,24-59,77,9.2,Mild Malnutrition,
Boy,24-59,77,8.5,Moderate Malnutrition,
Boy,24-59,77,7.9,Severe  Malnutrition,
Boy,24-59,78,10.2,Normal,
Boy,24-59,78,9.4,Mild Malnutrition,
Boy,24-59,78,8.7,Moderate Malnutrition,
Boy,24-59,78,8.0,Severe  Malnutrition,
Boy,24-59,79,10.4,Normal,
Boy,24-59,79,9.6,Mild Malnutrition,
Boy,24-59,79,8.8,Moderate Malnutrition,
Boy,24-59,79,8.2,Severe  Malnutrition,
Boy,24-59,80,10.6,Normal,
Boy,24-59,80,9.7,Mild Malnutrition,
Boy,24-59,80,9.0,Moderate Malnutrition,
Boy,24-59,80,8.3,Severe  Malnutrition,
Boy,24-59,81,10.8,Normal,
Boy,24-59,81,9.9,Mild Malnutrition,
Boy,24-59,81,9.2,Moderate Malnutrition,
Boy,24-59,81,8.5,Severe  Malnutrition,
Boy,24-59,82,11.0,Normal,
Boy,24-59,82,10.1,Mild Malnutrition,
Boy,24-59,82,9.3,Moderate Malnutrition,
Boy,24-59,82,8.7,Severe  Malnutrition,
Boy,24-59,83,11.2,Normal,
Boy,24-59,83,10.3,Mild Malnutrition,
Boy,24-59,83,9.5,Moderate Malnutrition,
Boy,24-59,83,8.8,Severe  Malnutrition,
Boy,24-59,84,11.4,Normal,
Boy,24-59,84,10.5,Mild Malnutrition,
Boy,24-59,84,9.7,Moderate Malnutrition,
Boy,24-59,84,9.0,Severe  Malnutrition,
Boy,24-59,85,11.7,Normal,
Boy,24-59,85,10.8,Mild Malnutrition,
Boy,24-59,85,10.0,Moderate Malnutrition,
Boy,24-59,85,9.2,Severe  Malnutrition,
Boy,24-59,86,11.9,Normal,
Boy,24-59,86,11.0,Mild Malnutrition,
Boy,24-59,86,10.2,Moderate Malnutrition,
Boy,24-59,86,9.4,Severe  Malnutrition,
Boy,24-59,87,12.2,Normal,
Boy,24-59,87,11.2,Mild Malnutrition,
Boy,24-59,87,10.4,Moderate Malnutrition,
Boy,24-59,87,9.6,Severe  Malnutrition,
Boy,24-59,88,12.4,Normal,
Boy,24-59,88,11.5,Mild Malnutrition,
Boy,24-59,88,10.6,Moderate Malnutrition,
Boy,24-59,88,9.8,Severe  Malnutrition,
Boy,24-59,89,12.6,Normal,
Boy,24-59,89,11.7,Mild Malnutrition,
Boy,24-59,89,10.8,Moderate Malnutrition,
Boy,24-59,89,10.0,Severe  Malnutrition,
Boy,24-59,90,12.9,Normal,
Boy,24-59,90,11.9,Mild Malnutrition,
Boy,24-59,90,11.0,Moderate Malnutrition,
Boy,24-59,90,10.2,Severe  Malnutrition,
Boy,24-59,91,13.1,Normal,
Boy,24-59,91,12.1,Mild Malnutrition,
Boy,24-59,91,11.2,Moderate Malnutrition,
Boy,24-59,91,10.4,Severe  Malnutrition,
Boy,24-59,92,13.4,Normal,
Boy,24-59,92,12.3,Mild Malnutrition,
Boy,24-59,92,11.4,Moderate Malnutrition,
Boy,24-59,92,10.6,Severe  Malnutrition,
Boy,24-59,93,13.6,Normal,
Boy,24-59,93,12.6,Mild Malnutrition,
Boy,24-59,93,11.6,Moderate Malnutrition,
Boy,24-59,93,10.8,Severe  Malnutrition,
Girl,24-59,65,7.2,Normal,
Girl,24-59,65,6.6,Mild Malnutrition,
Girl,24-59,65,6.1,Moderate Malnutrition,
Girl,24-59,65,5.6,Severe  Malnutrition,
Girl,24-59,66,7.5,Normal,
Girl,24-59,66,6.8,Mild Malnutrition,
Girl,24-59,66,6.3,Moderate Malnutrition,
Girl,24-59,66,5.8,Severe  Malnutrition,
Girl,24-59,67,7.7,Normal,
Girl,24-59,67,7.0,Mild Malnutrition,
Girl,24-59,67,6.4,Moderate Malnutrition,
Girl,24-59,67,5.9,Severe  Malnutrition,
Girl,24-59,68,7.9,Normal,
Girl,24-59,68,7.2,Mild Malnutrition,
Girl,24-59,68,6.6,Moderate Malnutrition,
Girl,24-59,68,6.1,Severe  Malnutrition,
Girl,24-59,69,8.1,Normal,
